"bet_IW","bet_WH","bet_LB","bet_B365","bet_GB","MajorityBet","Result"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"A","H","A","A","A","A","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"A","A","A","H","H","A","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"A","A","A","A","A","A","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","A","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"A","H","A","A","H","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","D"
"A","A","H","A","A","A","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","A","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"A","H","A","A","A","A","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","A"
"A","A","A","A","H","A","H"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","H","H","A","A","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"A","A","A","A","H","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"A","A","A","A","H","A","A"
"A","A","A","A","A","A","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","A","H","A","H","H","H"
"H","A","A","A","H","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","A"
"A","H","A","A","A","A","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"A","H","A","A","A","A","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","D"
"A","A","A","A","A","A","A"
"H","H","A","A","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"A","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","A","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"D","A","A","A","A","A","D"
"D","H","H","H","H","H","H"
"D","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"D","A","A","A","A","A","A"
"D","H","H","H","H","H","H"
"D","H","H","H","H","H","A"
"D","A","A","A","A","A","A"
"D","A","A","A","A","A","A"
"D","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"D","H","A","A","A","A","D"
"A","A","A","A","A","A","H"
"D","H","H","H","H","H","A"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"A","H","H","A","A","A","A"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"A","A","A","A","H","A","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"A","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","A","A","A","A","A"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","H"
"H","A","A","A","A","A","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"A","A","A","A","H","A","A"
"A","A","A","A","A","A","A"
"A","H","A","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","A","A","A","A","A","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","A"
"H","A","A","A","H","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","A","A","H","H","A"
"H","H","H","A","H","H","H"
"H","A","H","A","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","A","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","H","H","H","H","H","A"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","D"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","H","A","A","H","A","D"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"A","H","A","H","A","A","A"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"H","H","A","H","H","H","A"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","H","A","A","A","A","D"
"H","H","H","H","H","H","D"
"H","H","A","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","A","A","H","H","D"
"A","A","A","A","A","A","H"
"H","H","H","A","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"D","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"H","A","A","A","A","A","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","A"
"A","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"A","A","A","A","A","A","D"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","H","A","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"A","A","A","A","H","A","A"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"A","H","A","A","A","A","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","D"
"A","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","H","A","A","H","A","A"
"A","H","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","D","H","H","H","H","H"
"H","H","H","H","H","H","D"
"H","H","A","H","H","H","H"
"A","A","A","A","A","A","D"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","A"
"A","H","H","A","A","A","A"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","H"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","A"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"A","A","A","A","A","A","D"
"A","A","A","A","A","A","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","D"
"A","A","A","A","A","A","A"
"H","H","H","H","H","H","D"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","H","H","H","H","H","H"
"H","A","H","H","H","H","D"
